bgc_id,site_no,date,time_pst,division,genus,species,cells_per_ml,biovolume_um3_per_ml,tally,sampler,replicate,tally_natural_units,avg_length,avg_width,avg_depth,bv_factor,cymbelloid,e,f,aliquot_ml,fields,data_flag,notes
BGC000440,380354122020601,05/06/2016,10:45,bacillariophyta,nitzschia,nitzschia sp.,0.40,57.20,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000440,380354122020601,05/06/2016,10:45,bacillariophyta,stephanodiscus,stephanodiscus sp.,26.45,16185.46,5,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000440,380354122020601,05/06/2016,10:45,bacillariophyta,ulnaria,ulnaria delicatissima,5.71,7893.97,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000440,380354122020601,05/06/2016,10:45,bacillariophyta,synedra,synedra spp.,10.58,5268.21,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,achnanthidium,achnanthidium sp.,36.32,8129.58,3,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,amphora,amphora sp.,12.11,2034.10,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,aulacoseira,aulacoseira granulata,6258.43,19627016.90,79,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,thalassiosira,cf. thalassiosira sp.,108.96,9242.05,9,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,cyanobacteria,chroococcus,chroococcus microscopicus,38422.01,10300.26,485,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,cocconeis,cocconeis placentula,48.43,16734.58,4,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,cocconeis,cocconeis sp.,79.22,79641.21,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,cyclotella,cyclotella sp.,12.11,6845.96,1,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGC000442,11455478,05/06/2016,12:00,bacillariophyta,diatoma,diatoma mesodon,24.21,21754.96,2,Submersible centrifugal pump,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
