Year,Season,Month,SACmax_mo,OUTmax_mo,SJRmean_mo,EXPORTmean_mo,SAC_mean_var_m,OUT_mean_var_m,SAC_max_var_m,OUT_max_var_m,lag_SACmean_mo,lag_OUTmean_mo,lag_SJRmean_mo,lag_EXPORTmean_mo,SACmax_s,OUTmax_s,SAC_mean_var_s,OUT_mean_var_s,SAC_max_var_s,OUT_max_var_s,SACmax_sm,OUTmax_sm,SAC_max_var_sm,OUT_max_var_sm,year_month
2001,Summer,8,14900,4658,1329.6774193548388,8389.09677419355,935.483870967742,1482.3548387096773,2400,1950,14935.483870967742,4722.774193548387,1400,8166.1612903225805,16200,7034,989.3478260869565,1647.6739130434783,3020,3607,14935.483870967742,4722.774193548387,1025.8064516129032,1896.9,2001-08-01
2001,Summer,9,13500,5640,1376,7828.8,1007.3333333333334,1896.9,3020,3580,13219.354838709678,3226.8387096774195,1329.6774193548388,8389.09677419355,16200,7034,989.3478260869565,1647.6739130434783,3020,3607,14935.483870967742,4722.774193548387,1025.8064516129032,1896.9,2001-09-01
2001,Winter,1,28900,32048,2441.6129032258063,6718.967741935484,8467.741935483871,16325.90322580645,15800,27367,NA,NA,NA,NA,46200,56518,9430,15240.58888888889,22200,33347,24696.774193548386,23427.387096774193,10046.42857142857,16325.90322580645,2001-01-01
2001,Winter,2,36800,44585,3092.1428571428573,8371,10046.42857142857,15108.107142857143,21000,30099,17190.322580645163,15211.451612903225,2441.6129032258063,6718.967741935484,46200,56518,9430,15240.58888888889,22200,33347,24696.774193548386,23427.387096774193,10046.42857142857,16325.90322580645,2001-02-01
2001,Winter,3,46200,56518,3430.3225806451615,7945.225806451613,9835.483870967742,14274.935483870968,22200,33347,20867.85714285714,19567.928571428572,3092.1428571428573,8371,46200,56518,9430,15240.58888888889,22200,33347,24696.774193548386,23427.387096774193,10046.42857142857,16325.90322580645,2001-03-01
2002,Autumn,10,12300,5105,1704.8387096774193,5980.741935483871,1134.8387096774193,1046.7096774193549,2500,1553,13563.333333333334,4168.933333333333,1175.0333333333333,8648.566666666668,57500,66313,6665.434782608696,11443.065217391304,41100,58895,29130,28885.8064516129,16528.064516129034,24495.354838709678,2002-10-01
2002,Autumn,11,15400,26539,1714.6666666666667,6943.233333333334,2189,8698.6,5000,23431,9891.290322580646,4203.258064516129,1704.8387096774193,5980.741935483871,57500,66313,6665.434782608696,11443.065217391304,41100,58895,29130,28885.8064516129,16528.064516129034,24495.354838709678,2002-11-01
2002,Autumn,12,57500,66313,1988.3870967741937,7580.4838709677415,16528.064516129034,24495.354838709678,41100,58895,11746.333333333334,7333.1,1714.6666666666667,6943.233333333334,57500,66313,6665.434782608696,11443.065217391304,41100,58895,29130,28885.8064516129,16528.064516129034,24495.354838709678,2002-12-01
2002,Spring,4,17100,16833,2598.3333333333335,4561.1,1703.3333333333333,2954.6666666666665,4600,7554,21322.58064516129,16982.129032258064,2133.548387096774,8280.548387096775,20300,24211,2363.076923076923,3802.3846153846152,9600,13756,14476.666666666666,13554.225806451614,3656.1290322580644,5556.032258064516,2002-04-01
2002,Spring,5,20300,24211,2738.7096774193546,1727.516129032258,3656.1290322580644,5556.032258064516,9600,13756,14476.666666666666,11943.233333333334,2598.3333333333335,4561.1,20300,24211,2363.076923076923,3802.3846153846152,9600,13756,14476.666666666666,13554.225806451614,3656.1290322580644,5556.032258064516,2002-05-01
2002,Spring,6,17700,9606,1407,5308.933333333333,1686.6666666666667,2838,3500,5203,12969.032258064517,13554.225806451614,2738.7096774193546,1727.516129032258,20300,24211,2363.076923076923,3802.3846153846152,9600,13756,14476.666666666666,13554.225806451614,3656.1290322580644,5556.032258064516,2002-06-01
2002,Summer,7,20600,6860,1227.4193548387098,11024.193548387097,1229.032258064516,1676,2200,5203,13893.333333333334,7461.766666666666,1407,5308.933333333333,20600,6860,1300,1480.5217391304348,4000,5203,18900,5731.8387096774195,1629.032258064516,1676,2002-07-01
